!Women Art Revolution (2010)   3 stars, 1hr 22m  imdbClosed Captions: English
#1 Cheerleader Camp (2010)   3 stars, 1hr 35m  imdbClosed Captions: English Available in HD on your TV
Flight To Tangier (1953)   3.1 stars, 1hr 29m  imdbClosed Captions: English
Fling (2008)   3.3 stars, 1hr 38m  imdbClosed Captions: English Available in HD on your TV
Flip the Script (2005)   3.4 stars, 1hr 24m  imdbClosed Captions: English
Flipper (1996)   3.4 stars, 1hr 35m  imdbClosed Captions: English Available in HD on your TV
Flipping (1997)   , 50m  imdb
Flirting with Disaster (1996)   3.3 stars, 1hr 32m  imdbClosed Captions: English Available in HD on your TV
Flock of Dodos (2006)   3.6 stars, 1hr 25m  imdbClosed Captions: English
Floored (2009)   3.7 stars, 1hr 17m  imdbAvailable in HD on your TV
Florida Road (2010)   , 1hr 43m  imdbClosed Captions: English
Flow: For Love of Water (2008)   3.8 stars, 1hr 23m  imdbAvailable in HD on your TV
Flower Boy Ramen Shop (2011)   , 16 Episodes  imdbClosed Captions: English Available in HD on your TV
Flowers in the Attic (1987)   3.5 stars, 1hr 31m  imdbClosed Captions: English
Fly Away (2011)   3.5 stars, 1hr 20m  imdbAvailable in HD on your TV
Fly Jefferson Airplane (2004)   3.5 stars, 1hr 20m  imdbClosed Captions: English
Flying Devils (1985)   , 1hr 50m  imdbClosed Captions: English
Flying Tigers (1942)   3.5 stars, 1hr 41m  imdbClosed Captions: English
Flying Wild Alaska (2011)   4.2 stars, 1 Season  imdbClosed Captions: English Available in HD on your TV
Follow That Bird (1985)   3.4 stars, 1hr 28m  imdbClosed Captions: English
Follow the Prophet (2009)   3.4 stars, 1hr 29m  imdbAvailable in HD on your TV
Following (1998)   3.4 stars, 1hr 10m  imdbClosed Captions: English
Following Sean (2006)   3.4 stars, 1hr 27m  imdbClosed Captions: English
Food, Inc. (2008)   3.9 stars, 1hr 33m  imdbClosed Captions: English Available in HD on your TV
Food Beware: The French Organic Revolution (2009)   3.7 stars, 1hr 47m  imdbClosed Captions: English
Food Fight (2008)   4 stars, 1hr 11m  imdbAvailable in HD on your TV
Food Matters (2008)   4.1 stars, 1hr 17m  imdbClosed Captions: English
Fool for Love (2010)   2.8 stars, 1hr 39m  imdbClosed Captions: English
Footloose (1984)   3.6 stars, 1hr 47m  imdbClosed Captions: English Available in HD on your TV
For Bad Boys Only (2000)   2.9 stars, 1hr 41m  imdbClosed Captions: English
For Colored Girls (2010)   4 stars, 2hr 13m  imdbClosed Captions: English Available in HD on your TV
For Lovers Only (2010)   3 stars, 1hr 27m  imdbAvailable in HD on your TV
For My Father (2008)   3.7 stars, 1hr 35m  imdbClosed Captions: English
For My Wife (2008)   3.4 stars, 1hr 1m  imdbClosed Captions: English
For Once in My Life (2010)   3.3 stars, 1hr 30m  imdbAvailable in HD on your TV
For Real (2002)   3.4 stars, 1hr 38m  imdbClosed Captions: English
For the Bible Tells Me So (2007)   3.8 stars, 1hr 38m  imdbClosed Captions: English
For the Love of a Dog (2007)   3.6 stars, 1hr 24m  imdbClosed Captions: English Available in HD on your TV
For the Love of Grace (2008)   3.7 stars, 1hr 28m  imdbClosed Captions: English
For the Love of It (1980)   2.3 stars, 1hr 36m  imdbClosed Captions: English
For Those Who Think Young (1964)   2.8 stars, 1hr 37m  imdbClosed Captions: English Available in HD on your TV
For Thy Love (2006)   2.9 stars, 1hr 28m  imdbClosed Captions: English
Forbidden Games (1952)   3.8 stars, 1hr 25m  imdbClosed Captions: English
Forbidden Love (1982)   3 stars, 1hr 36m  imdbClosed Captions: English
Forbidden Quest (2006)   2.6 stars, 2hr 22m  imdbClosed Captions: English Available in HD on your TV
Forbidden to Forbid (2005)   2.7 stars, 1hr 40m  imdbClosed Captions: English,Spanish Available in HD on your TV
Force (2011)   2.5 stars, 2hr 17m  imdbClosed Captions: English Available in HD on your TV
Fordson: Faith, Fasting, Football (2010)   2.8 stars, 1hr 32m  imdbClosed Captions: English Available in HD on your TV
Foreign Agent (1942)   3 stars, 1hr 2m  imdbClosed Captions: English
Foreign Intrigue (1956)   3.2 stars, 1hr 39m  imdbClosed Captions: English Available in HD on your TV
Foreign Letters (2012)   2.8 stars, 1hr 39m  imdbAvailable in HD on your TV
Foreign Parts (2010)   2.1 stars, 1hr 20m  imdbAvailable in HD on your TV
Foreign Student (1994)   2.7 stars, 1hr 35m  imdbClosed Captions: English
Foreigner: Alive & Rockin' (2007)   3.5 stars, 1hr 8m  imdbClosed Captions: English
Forensics: You Decide (2009)   3.9 stars, 1 Season  imdbClosed Captions: English Available in HD on your TV
Forest of Bandi: Fireflies (2011)   , 30m  imdbAvailable in HD on your TV
Forever Female (1954)   3.4 stars, 1hr 33m  imdbClosed Captions: English
Forever Lulu (2000)   2.8 stars, 1hr 42m  imdbClosed Captions: English
Forever Plaid: The Movie (2008)   3.3 stars, 1hr 25m  imdbClosed Captions: English Available in HD on your TV
Forever Strong (2008)   4.2 stars, 1hr 49m  imdbClosed Captions: English Available in HD on your TV
Forever Young (1992)   3.5 stars, 1hr 41m  imdbClosed Captions: English Available in HD on your TV
Forget Me Not (2009)   3.4 stars, 1hr 43m  imdbClosed Captions: English Available in HD on your TV
Forgiven (2011)   3.4 stars, 1hr 35m  imdbClosed Captions: English
Forgiving Dr. Mengele (2006)   3.6 stars, 1hr 19m  imdbClosed Captions: English
Forks Over Knives (2011)   4.2 stars, 1hr 36m  imdbClosed Captions: English Available in HD on your TV
Forks Over Knives Presents: The Engine 2 Kitchen Rescue (2011)   3.8 stars, 52m  imdbClosed Captions: English Available in HD on your TV
Fort Dodge Stampede (1951)   3.3 stars, 59m  imdbClosed Captions: English
Fort Massacre (1958)   3.4 stars, 1hr 20m  imdbClosed Captions: English Available in HD on your TV
Fort Utah (1967)   3.4 stars, 1hr 23m  imdbClosed Captions: English
Four Days (1999)   2.8 stars, 1hr 28m  imdbClosed Captions: English
Four Days in November (1964)   3.7 stars, 2hr 2m  imdbClosed Captions: English
Four Faces West (1948)   3.5 stars, 1hr 30m  imdbClosed Captions: English
Four Lions (2010)   3.4 stars, 1hr 41m  imdbClosed Captions: English Available in HD on your TV
Four Rooms (1995)   3.6 stars, 1hr 37m  imdbClosed Captions: English Available in HD on your TV
Foxfire Light (1982)   3.5 stars, 1hr 37m  imdbClosed Captions: English
Foxy Brown (1974)   3.4 stars, 1hr 31m  imdb
Fräulein Doktor (1969)   2.9 stars, 1hr 41m  imdbClosed Captions: English
Fraggle Rock (1983-1986)   3.7 stars, 5 Seasons  imdbClosed Captions: English
Fragile (2005)   3.4 stars, 1hr 41m  imdbAvailable in HD on your TV
Fragments (2008)   3 stars, 1hr 35m  imdbClosed Captions: English Available in HD on your TV
Frame 313: The JFK Assassination Theories (2008)   3.7 stars, 1hr 54m  imdb
Frances: Bedtime for Frances (2009)   3.2 stars, 46m  imdbClosed Captions: English
Frank & Jesse (1995)   3.6 stars, 1hr 46m  imdbClosed Captions: English
Frank Caliendo: All Over the Place (2007)   3.5 stars, 1hr 9m  imdbClosed Captions: English
Frank Lloyd Wright (1998)   3.8 stars, 2hr 36m  imdbClosed Captions: English
Frank Zappa: Apostrophe /Over-Nite Sensation (2007)   3.6 stars, 49m  imdbClosed Captions: English
Frankensteer (2006)   3.7 stars, 44m  imdb
Frankenstein (2004)   3.1 stars, 1hr 27m  imdbClosed Captions: English
Frankenstein (2004)   3.3 stars, 2 Episodes  imdbClosed Captions: English Available in HD on your TV
Franny's Feet (2003)   3.5 stars, 18 Episodes  imdb
Frasier (1993-2003)   3.8 stars, 11 Seasons  imdbClosed Captions: English Available in HD on your TV
Fraternity House (2008)   2.4 stars, 1hr 21m  imdbClosed Captions: English
Frauds (1993)   2.1 stars, 1hr 33m  imdbClosed Captions: English
Fraulein (2006)   3.2 stars, 1hr 15m  imdb
Freak Encounters (2010)   3.3 stars, 1 Season  imdbClosed Captions: English Available in HD on your TV
Freakonomics (2010)   3.7 stars, 1hr 33m  imdbClosed Captions: English Available in HD on your TV
Freaks and Geeks (1999)   4.6 stars, 18 Episodes  imdbClosed Captions: English
Freakshow (2007)   2.7 stars, 1hr 25m  imdbAvailable in HD on your TV
Freaky Eaters (2010)   , 1 Season  imdbClosed Captions: English Available in HD on your TV
Freaky Faron (2006)   2.9 stars, 1hr 16m  imdb
Fred: The Movie (2010)   3 stars, 1hr 22m  imdbClosed Captions: English Available in HD on your TV
Fred 2: Night of the Living Fred (2011)   3.4 stars, 1hr 22m  imdbClosed Captions: English Available in HD on your TV
Fred 3: Camp Fred (2012)   3.4 stars, 1hr 20m  imdbClosed Captions: English Available in HD on your TV
Freddy Frogface (2011)   3.3 stars, 1hr 24m  imdbClosed Captions: English Available in HD on your TV
Free Money (1998)   3 stars, 1hr 33m  imdbClosed Captions: English
Free Radicals (2003)   2.5 stars, 1hr 54m  imdbClosed Captions: English
Free Willy (1993)   3.3 stars, 1hr 51m  imdbClosed Captions: English Available in HD on your TV
Free Willy 2: The Adventure Home (1995)   3.5 stars, 1hr 37m  imdbClosed Captions: English Available in HD on your TV
Free Zone (2005)   2.6 stars, 1hr 30m  imdbClosed Captions: English
Freedom Fries: And Other Stupidity We'll Have to Explain to Our Grandchildren (2005)   3.3 stars, 51m  imdbClosed Captions: English
Freedom Writers (2007)   4 stars, 2hr 2m  imdbClosed Captions: English Available in HD on your TV
Freerunner (2011)   3.3 stars, 1hr 27m  imdbClosed Captions: English Available in HD on your TV
Freestyle (2010)   3.5 stars, 1hr 25m  imdbClosed Captions: English Available in HD on your TV
Freeway Killer (2009)   3 stars, 1hr 28m  imdbClosed Captions: English Available in HD on your TV
Freezer Burn (2007)   2.6 stars, 1hr 35m  imdbClosed Captions: English
Frenemies (2012)   3.8 stars, 1hr 26m  imdbClosed Captions: English Available in HD on your TV
Fresh (2009)   4.2 stars, 1hr 10m  imdbClosed Captions: English
Friday Foster (1975)   3.2 stars, 1hr 30m  imdbClosed Captions: English Available in HD on your TV
Friday Night Lights (2006-2010)   4.1 stars, 5 Seasons  imdbClosed Captions: English Available in HD on your TV
Friends with Benefits (2009)   2.9 stars, 1hr 33m  imdbClosed Captions: English Available in HD on your TV
Friends and Family (2001)   3.3 stars, 1hr 27m  imdbClosed Captions: English
Friends with Benefits (2011)   3.7 stars, 1 Season  imdbClosed Captions: English Available in HD on your TV
Fright Flick (2011)   2.2 stars, 1hr 43m  imdbClosed Captions: English Available in HD on your TV
Frisco Tornado (1950)   3.3 stars, 1hr  imdbClosed Captions: English
Fritz the Cat (1972)   3.1 stars, 1hr 18m  imdbClosed Captions: English
Frog Song (2005)   2.8 stars, 1hr 5m  imdbClosed Captions: English
Frogs (1972)   2.7 stars, 1hr 30m  imdbClosed Captions: English
Frogs & Toads (2009)   3.2 stars, 1hr 10m  imdbClosed Captions: English
From a Whisper to a Scream (1987)   3 stars, 1hr 39m  imdbClosed Captions: English
From Dusk Till Dawn (1996)   3.7 stars, 1hr 48m  imdbClosed Captions: English Available in HD on your TV
From Dusk Till Dawn 2: Texas Blood Money (1999)   3 stars, 1hr 28m  imdbClosed Captions: English Available in HD on your TV
From Dusk Till Dawn 3: The Hangman's Daughter (1999)   3.2 stars, 1hr 34m  imdbClosed Captions: English Available in HD on your TV
From Hollywood to Deadwood (1989)   , 1hr 39m  imdbClosed Captions: English
From Mao to Mozart: Isaac Stern in China (1981)   3.7 stars, 1hr 23m  imdb
From Prada to Nada (2011)   3.7 stars, 1hr 46m  imdbClosed Captions: English Available in HD on your TV
From Russia with Love (1963)   3.9 stars, 1hr 55m  imdbAvailable in HD on your TV
From the Ground Up (2011)   , 30m  imdbClosed Captions: English
From Time to Time (2009)   4 stars, 1hr 36m  imdbClosed Captions: English Available in HD on your TV
Frontier Gambler (1956)   3.1 stars, 1hr 10m  imdbClosed Captions: English
Frontier Vengeance (1940)   3.1 stars, 50m  imdbClosed Captions: English
Frontline: A Death in Tehran (2009)   3.8 stars, 41m  imdbClosed Captions: English
Frontline: Bad Voodoo's War (2008)   3.8 stars, 56m  imdb
Frontline: Battle for Haiti (2011)   3.8 stars, 53m  imdbAvailable in HD on your TV
Frontline: Behind Taliban Lines (2010)   3.6 stars, 54m  imdb
Frontline: Black Money (2009)   3.8 stars, 55m  imdb
Frontline: Breaking the Bank (2009)   4 stars, 54m  imdb
Frontline: Bush's War (2008)   3.9 stars, 1 Season  imdb
Frontline: Close to Home: Scenes from a Recession (2009)   3.4 stars, 54m  imdb
Frontline: College, Inc. (2010)   3.7 stars, 55m  imdb
Frontline: Death by Fire (2010)   3.8 stars, 53m  imdb
Frontline: Digital Nation (2010)   3.6 stars, 1hr 23m  imdbClosed Captions: English
Frontline: Dreams of Obama (2009)   3.5 stars, 56m  imdb
Frontline: Facing Death (2010)   3.8 stars, 53m  imdbClosed Captions: English
Frontline: Flying Cheap (2010)   3.8 stars, 54m  imdb
Frontline: Growing Up Online (2008)   3.6 stars, 56m  imdb
Frontline: Heat (2008)   3.9 stars, 1hr 56m  imdb
Frontline: Inside the Meltdown (2009)   4.1 stars, 56m  imdb
Frontline: Law and Disorder (2010)   3.8 stars, 55m  imdb
Frontline: Obama's Deal (2010)   3.8 stars, 54m  imdbClosed Captions: English
Frontline: Obama's War (2009)   3.7 stars, 54m  imdb
Frontline: Poisoned Waters (2009)   3.9 stars, 1hr 54m  imdb
Frontline: Post Mortem (2011)   3.8 stars, 53m  imdb
Frontline: Revolution in Cairo (2011)   3.7 stars, 53m  imdb
Frontline: Rules of Engagement (2008)   3.8 stars, 56m  imdb
Frontline: Sick Around America (2009)   3.9 stars, 55m  imdb
Frontline: Sick Around the World (2008)   4 stars, 56m  imdb
Frontline: Ten Trillion and Counting (2009)   3.9 stars, 55m  imdb
Frontline: The Card Game (2009)   3.9 stars, 54m  imdb
Frontline: The Confessions (2010)   3.9 stars, 1hr 23m  imdb
Frontline: The Dancing Boys of Afghanistan (2010)   3.6 stars, 51m  imdb
Frontline: The Hugo Chávez Show (2008)   3.6 stars, 1hr 24m  imdb
Frontline: The Madoff Affair (2009)   3.7 stars, 56m  imdb
Frontline: The Medicated Child (2008)   3.7 stars, 56m  imdb
Frontline: The Old Man and the Storm (2009)   3.8 stars, 56m  imdb
Frontline: The Quake (2010)   3.7 stars, 55m  imdb
Frontline: The Released (2009)   3.7 stars, 56m  imdb
Frontline: The Spill (2010)   3.7 stars, 53m  imdb
Frontline: The Suicide Tourist (2010)   3.9 stars, 54m  imdb
Frontline: The Vaccine War (2010)   3.6 stars, 54m  imdb
Frontline: The War Briefing (2008)   4 stars, 56m  imdb
Frontline: The Warning (2009)   4 stars, 54m  imdb
Frontline: The Wounded Platoon (2010)   4 stars, 1hr 25m  imdb
Frontrunner (2008)   , 1hr 29m  imdb
Frontrunners (2008)   3.2 stars, 56m  imdb
Frozen (1997)   2.2 stars, 1hr 36m  imdbClosed Captions: English
Frozen Angels (2005)   2.9 stars, 1hr 23m  imdbClosed Captions: English
Frozen Impact (2003)   3.5 stars, 1hr 30m  imdbClosed Captions: English
Fruits Basket (2001)   4.2 stars, 26 Episodes  imdb
Fubar: Balls to the Wall (2010)   3.5 stars, 1hr 25m  imdbClosed Captions: English Available in HD on your TV
Fugitive Mind (1999)   2.7 stars, 1hr 33m  imdbClosed Captions: English
Fujian Blue (2007)   , 1hr 29m  imdbClosed Captions: English
Full Contact (1992)   3.3 stars, 1hr 40m  imdb
Full Metal Panic! (2002)   4.1 stars, 24 Episodes  imdbAvailable in HD on your TV
Full Metal Panic Fumoffu (2003)   4.1 stars, 12 Episodes  imdbAvailable in HD on your TV
Full Moon High (1981)   2.7 stars, 1hr 34m  imdbClosed Captions: English
Full Ride (2002)   3.3 stars, 1hr 31m  imdbClosed Captions: English
Full Tilt Boogie (1997)   3.2 stars, 1hr 40m  imdbAvailable in HD on your TV
Fullmetal Alchemist (2003)   4.4 stars, 51 Episodes  imdb
Fullmetal Alchemist: Brotherhood (2009)   4.4 stars, 3 Parts  imdbAvailable in HD on your TV
Funk Brothers: Live in Orlando (2008)   2.8 stars, 59m  imdbClosed Captions: English
Funland (1987)   2.5 stars, 1hr 26m  imdbClosed Captions: English
Funniest Pets & People (2006)   3.5 stars, 1 Season  imdb
Funny Farm (1988)   3.5 stars, 1hr 41m  imdbClosed Captions: English Available in HD on your TV
Funny Games (1998)   3.3 stars, 1hr 44m  imdbClosed Captions: English
Futurama (1999-2011)   3.7 stars, 6 Volumes  imdbClosed Captions: English Available in HD on your TV
Futurama: Bender's Game (2008)   3.9 stars, 1hr 26m  imdbClosed Captions: English Available in HD on your TV
Futurama: Into the Wild Green Yonder (2009)   4 stars, 1hr 29m  imdbClosed Captions: English Available in HD on your TV
Futurama: The Beast with a Billion Backs (2008)   3.9 stars, 1hr 28m  imdbClosed Captions: English Available in HD on your TV
Futurama the Movie: Bender's Big Score (2007)   3.9 stars, 1hr 28m  imdbClosed Captions: English Available in HD on your TV
Future by Design (2006)   3.6 stars, 1hr 28m  imdb
Future Weapons (2006-2007)   3.9 stars, 3 Seasons  imdbClosed Captions: English Available in HD on your TV
Fyre (1979)   2.7 stars, 1hr 30m  imdbClosed Captions: English Available in HD on your TV
G.I. Joe (1983-1986)   3.9 stars, 2 Seasons  imdbClosed Captions: English Available in HD on your TV
G.I. Joe: Renegades (2010)   4 stars, 1 Season  imdbClosed Captions: English Available in HD on your TV
G.O.R.P. (1980)   2.7 stars, 1hr 29m  imdbClosed Captions: English Available in HD on your TV
Ga-Rei: Zero (2008)   3.7 stars, 12 Episodes  imdbAvailable in HD on your TV
Gabriel Iglesias: Hot and Fluffy (2007)   4.2 stars, 1hr  imdbClosed Captions: English
Gabriela (1983)   3.2 stars, 1hr 38m  imdb
Gad Guard (2003)   3.3 stars, 26 Episodes  imdb
